id,date,set,song,time,location
1,12/2/1983,2,Scarlet Begonias,558,224
2,12/2/1983,2,Fire on the Mountain,473,224
3,11/3/1984,1,Ignition Sequence,30,471
4,11/3/1984,1,In the Midnight Hour,383,471
5,11/3/1984,1,Wild Child,320,471
6,11/3/1984,1,Can't You Hear Me Knocking,579,471
7,11/3/1984,1,Camel Walk,77,471
8,11/3/1984,1,Eyes of the World,1072,471
9,11/3/1984,1,Jam > Bertha > St. Stephen,819,471
10,11/3/1984,1,Whipping Post > Drums,961,471
11,12/1/1984,1,Scarlet Begonias ,374,359
12,12/1/1984,1,Fire ,260,359
13,12/1/1984,1,Fire on the Mountain ,544,359
14,12/1/1984,1,Makisupa Policeman ,563,359
15,12/1/1984,1,Slave to the Traffic Light ,426,359
16,12/1/1984,1,Spanish Flea ,364,359
17,12/1/1984,1,Don't Want You No More ,439,359
18,12/1/1984,1,Cities ,374,359
19,12/1/1984,1,Drums ,597,359
20,12/1/1984,1,Skippy the Wondermouse ,588,359
21,12/1/1984,1,Fluffhead ,384,359
22,12/1/1984,E,Eyes of the World ,809,359
23,3/4/1985,1,Anarchy ,31,241
24,3/4/1985,1,Camel Walk ,408,241
25,3/4/1985,1,Fire Up the Ganja ,916,241
26,3/4/1985,1,Skippy the Wondermouse ,741,241
27,3/4/1985,1,In the Midnight Hour ,316,241
28,5/3/1985,1,Mike's Song ,448,637
29,5/3/1985,1,Dave's Energy Guide ,300,637
30,5/3/1985,3,Scarlet Begonias ,649,637
31,5/3/1985,3,Eyes of the World ,952,637
32,5/3/1985,3,Makisupa Policeman ,440,637
33,5/3/1985,3,Run Like an Antelope ,368,637
34,5/3/1985,3,The Other One ,893,637
35,5/3/1985,E,Anarchy ,33,637
36,5/3/1985,3,Whipping Post > McGrupp and the Watchful Hosemasters ,1103,637
37,10/17/1985,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,612,185
38,10/17/1985,1,Mike's Song ,407,185
39,10/17/1985,1,Dave's Energy Guide ,220,185
40,10/17/1985,1,Revolution ,33,185
41,10/17/1985,1,Camel Walk ,516,185
42,10/17/1985,1,Run Like an Antelope ,456,185
43,10/17/1985,1,McGrupp and the Watchful Hosemasters ,565,185
44,10/17/1985,1,Anarchy ,20,185
45,10/30/1985,1,Harry Hood,678,241
46,10/30/1985,1,Dog Log,310,241
47,10/30/1985,1,Possum,405,241
48,10/30/1985,1,Slave to the Traffic Light,391,241
49,10/30/1985,1,Sneakin' Sally Through the Alley,494,241
50,10/30/1985,1,I Wish,420,241
51,10/30/1985,1,Revival,296,241
52,10/30/1985,1,Alumni Blues,282,241
53,10/30/1985,1,Letter to Jimmy Page,69,241
54,10/30/1985,1,Alumni Blues,282,241
55,10/30/1985,1,Prep School Hippie,303,241
56,10/30/1985,1,Skippy the Wondermouse,932,241
57,11/14/1985,1,Hurricane,541,323
58,11/14/1985,1,Makisupa Policeman,302,323
59,11/14/1985,1,Piggies,150,323
60,11/14/1985,1,Makisupa Policeman,213,323
61,11/14/1985,1,Drums,102,323
62,11/23/1985,2,Mike's Song ,276,207
63,11/23/1985,2,Whipping Post ,1646,207
64,11/23/1985,2,Run Like an Antelope ,546,207
65,11/23/1985,2,Dave's Energy Guide ,222,207
66,2/3/1986,1,Slave to the Traffic Light,359,241
67,2/3/1986,1,Mike's Song,404,241
68,2/3/1986,1,Dave's Energy Guide,248,241
69,2/3/1986,1,You Enjoy Myself,609,241
70,2/3/1986,1,Alumni Blues,421,241
71,2/3/1986,1,Letter to Jimmy Page,54,241
72,2/3/1986,1,Alumni Blues,103,241
73,2/3/1986,1,Prep School Hippie,266,241
74,2/3/1986,1,Run Like an Antelope,508,241
75,4/1/1986,2,Alumni Blues > Letter to Jimmy Page > Alumni Blues,413,241
76,4/1/1986,1,Quinn the Eskimo,402,241
77,4/1/1986,1,Have Mercy,335,241
78,4/1/1986,1,Harry Hood,644,241
79,4/1/1986,1,Jazz Jam,73,241
80,4/1/1986,1,Icculus,317,241
81,4/1/1986,1,You Enjoy Myself,825,241
82,4/1/1986,2,Help on the Way,213,241
83,4/1/1986,2,Slipknot!,520,241
84,4/1/1986,2,AC/DC Bag,379,241
85,4/1/1986,2,McGrupp and the Watchful Hosemasters,446,241
86,4/1/1986,2,Dear Mrs. Reagan,373,241
87,4/1/1986,E,Not Fade Away,129,241
88,4/1/1986,1,The Pendulum > Dave's Energy Guide,440,241
89,4/15/1986,1,AC/DC Bag ,561,637
90,4/15/1986,1,Dear Mrs. Reagan ,285,637
91,4/15/1986,1,Prep School Hippie ,390,637
92,4/15/1986,1,Quinn the Eskimo ,346,637
93,4/15/1986,1,Slave to the Traffic Light ,415,637
94,4/15/1986,1,Makisupa Policeman ,397,637
95,4/15/1986,1,Have Mercy ,447,637
96,4/15/1986,1,All Blues ,190,637
97,4/15/1986,1,Dog Log ,275,637
98,4/15/1986,1,Possum ,317,637
99,4/15/1986,1,You Enjoy Myself ,625,637
100,4/15/1986,1,Anarchy ,74,637
101,4/15/1986,1,Camel Walk ,321,637
102,4/15/1986,1,Alumni Blues ,76,637
103,4/15/1986,1,Letter to Jimmy Page ,55,637
104,4/15/1986,1,Alumni Blues ,76,637
105,10/12/1986,1,Golgi Apparatus,366,227
106,10/12/1986,1,Slave to the Traffic Light,390,227
107,10/12/1986,1,Wilson,416,227
108,10/12/1986,1,Halley's Comet,468,227
109,10/12/1986,1,Possum,354,227
110,10/12/1986,1,Sneakin' Sally Through the Alley,337,227
111,10/12/1986,1,Makisupa Policeman,435,227
112,10/15/1986,1,Alumni Blues ,448,241
113,10/15/1986,1,Makisupa Policeman ,305,241
114,10/15/1986,1,Skin It Back ,408,241
115,10/15/1986,1,Cities ,316,241
116,10/15/1986,1,I Am Hydrogen ,173,241
117,10/15/1986,1,McGrupp and the Watchful Hosemasters ,479,241
118,10/15/1986,1,AC/DC Bag ,351,241
119,10/15/1986,1,You Enjoy Myself ,645,241
120,10/15/1986,1,Lushington ,352,241
121,10/15/1986,2,Peaches en Regalia ,242,241
122,10/15/1986,2,Golgi Apparatus ,286,241
123,10/15/1986,2,"Swing Low, Sweet Chariot ",110,241
124,10/15/1986,2,Camel Walk ,308,241
125,10/15/1986,2,Shaggy Dog ,262,241
126,10/15/1986,2,Mustang Sally ,356,241
127,10/15/1986,2,Fluffhead ,560,241
128,10/15/1986,2,Sneakin' Sally Through the Alley ,356,241
129,10/15/1986,2,Wilson ,118,241
130,10/15/1986,2,Slave to the Traffic Light ,402,241
131,10/15/1986,2,Quinn the Eskimo ,512,241
132,10/15/1986,2,Mike's Song ,433,241
133,10/15/1986,2,Have Mercy ,399,241
